TENT2_Homo_sapiens	XP_047272808.1	100.000	100	0.0	1000	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]
mtPAP_Homo_sapiens	NP_060579.3	100.000	100	0.0	1199	poly(A) RNA polymerase, mitochondrial precursor [Homo sapiens]
Tut1_Homo_sapiens	NP_073741.3	100.000	100	0.0	1756	speckle targeted PIP5K1A-regulated poly(A) polymerase isoform 1 [Homo sapiens]
Tut7_Homo_sapiens	XP_016870620.1	100.000	100	0.0	3104	terminal uridylyltransferase 7 isoform X4 [Homo sapiens]
Tut4_Homo_sapiens	XP_047272282.1	100.000	100	0.0	3412	terminal uridylyltransferase 4 isoform X5 [Homo sapiens]
TENT4A_Homo_sapiens	NP_008930.2	100.000	100	0.0	1618	terminal nucleotidyltransferase 4A isoform 1 [Homo sapiens]
TENT4B_Homo_sapiens	XP_011521578.1	97.945	100	0.0	1185	terminal nucleotidyltransferase 4B isoform X2 [Homo sapiens]
TENT5A_Homo_sapiens	NP_060103.2	100.000	100	0.0	918	terminal nucleotidyltransferase 5A [Homo sapiens]
TENT5B_Homo_sapiens	NP_443175.2	100.000	100	0.0	869	terminal nucleotidyltransferase 5B [Homo sapiens]
TENT5C_Homo_sapiens	NP_060179.2	100.000	100	0.0	812	terminal nucleotidyltransferase 5C [Homo sapiens]
TENT5D_Homo_sapiens	NP_689843.1	100.000	100	0.0	808	terminal nucleotidyltransferase 5D [Homo sapiens]
