NP_001107865.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001107866.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001284673.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001284674.1	poly(A) RNA polymerase GLD2 isoform 3 [Homo sapiens]
NP_001336477.1	poly(A) RNA polymerase GLD2 isoform 4 [Homo sapiens]
NP_001336478.1	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]
NP_001336479.1	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]
NP_001336480.1	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]
NP_001336481.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001336482.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001336483.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375022.1	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]
NP_001375023.1	poly(A) RNA polymerase GLD2 isoform 5 [Homo sapiens]
NP_001375024.1	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]
NP_001375025.1	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]
NP_001375026.1	poly(A) RNA polymerase GLD2 isoform 6 [Homo sapiens]
NP_001375027.1	poly(A) RNA polymerase GLD2 isoform 7 [Homo sapiens]
NP_001375028.1	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]
NP_001375029.1	poly(A) RNA polymerase GLD2 isoform 8 [Homo sapiens]
NP_001375030.1	poly(A) RNA polymerase GLD2 isoform 9 [Homo sapiens]
NP_001375031.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375032.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375034.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375035.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375036.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375037.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375038.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375039.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375040.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375041.1	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
NP_001375042.1	poly(A) RNA polymerase GLD2 isoform 16 [Homo sapiens]
NP_001375043.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375044.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375045.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375046.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375047.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375048.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375049.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375050.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375051.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375052.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375053.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375054.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375055.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375056.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375057.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375058.1	poly(A) RNA polymerase GLD2 isoform 2 [Homo sapiens]
NP_001375059.1	poly(A) RNA polymerase GLD2 isoform 10 [Homo sapiens]
NP_001375060.1	poly(A) RNA polymerase GLD2 isoform 11 [Homo sapiens]
NP_001375061.1	poly(A) RNA polymerase GLD2 isoform 12 [Homo sapiens]
NP_001375062.1	poly(A) RNA polymerase GLD2 isoform 3 [Homo sapiens]
NP_001375063.1	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]
NP_001375064.1	poly(A) RNA polymerase GLD2 isoform 13 [Homo sapiens]
NP_001375065.1	poly(A) RNA polymerase GLD2 isoform 14 [Homo sapiens]
NP_001375066.1	poly(A) RNA polymerase GLD2 isoform 15 [Homo sapiens]
NP_776158.2	poly(A) RNA polymerase GLD2 isoform 1 [Homo sapiens]
XP_011541522.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_011541523.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_011541526.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_011541527.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_011541531.1	poly(A) RNA polymerase GLD2 isoform X5 [Homo sapiens]
XP_016864641.1	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]
XP_047272800.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_047272801.1	poly(A) RNA polymerase GLD2 isoform X1 [Homo sapiens]
XP_047272802.1	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]
XP_047272803.1	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]
XP_047272804.1	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]
XP_047272805.1	poly(A) RNA polymerase GLD2 isoform X2 [Homo sapiens]
XP_047272806.1	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]
XP_047272807.1	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]
XP_047272808.1	poly(A) RNA polymerase GLD2 isoform X3 [Homo sapiens]
XP_047272809.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]
XP_047272810.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]
XP_047272811.1	poly(A) RNA polymerase GLD2 isoform X4 [Homo sapiens]
XP_047272812.1	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]
XP_047272813.1	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]
XP_047272814.1	poly(A) RNA polymerase GLD2 isoform X6 [Homo sapiens]
XP_047272815.1	poly(A) RNA polymerase GLD2 isoform X7 [Homo sapiens]
XP_047272816.1	poly(A) RNA polymerase GLD2 isoform X8 [Homo sapiens]
XP_047272817.1	poly(A) RNA polymerase GLD2 isoform X9 [Homo sapiens]
XP_047272818.1	poly(A) RNA polymerase GLD2 isoform X10 [Homo sapiens]
XP_047272820.1	poly(A) RNA polymerase GLD2 isoform X11 [Homo sapiens]
