NP_001258875.2	NP_001383050.1	81.794	1516	99	0.0	2580	slit homolog 3 protein precursor [Gallus gallus]
NP_001258875.2	NP_001254004.2	67.086	1510	98	0.0	2106	slit homolog 2 protein precursor [Gallus gallus]
NP_001258875.2	XP_060544942.1	64.927	1514	98	0.0	2043	slit homolog 2 protein isoform X2 [Pantherophis guttatus]
NP_001258875.2	XP_060544942.1	26.582	237	98	1.43e-21	103	slit homolog 2 protein isoform X2 [Pantherophis guttatus]
NP_001258875.2	XP_060544944.1	64.970	1513	98	0.0	2043	slit homolog 2 protein isoform X3 [Pantherophis guttatus]
NP_001258875.2	XP_060544944.1	26.582	237	98	1.41e-21	103	slit homolog 2 protein isoform X3 [Pantherophis guttatus]
NP_001258875.2	NXP26988.1	81.282	1170	98	0.0	1982	SLIT3 protein [Scytalopus superciliaris]
NP_001258875.2	NXP26988.1	31.023	577	98	3.16e-85	305	SLIT3 protein [Scytalopus superciliaris]
NP_001258875.2	NXP26988.1	31.087	460	98	4.55e-65	243	SLIT3 protein [Scytalopus superciliaris]
NP_001258875.2	NXP26988.1	27.473	273	98	1.18e-18	93.2	SLIT3 protein [Scytalopus superciliaris]
NP_001258875.2	NXP26988.1	25.000	232	98	7.88e-05	48.1	SLIT3 protein [Scytalopus superciliaris]
NP_001258875.2	NP_001264265.2	59.723	1517	98	0.0	1827	slit homolog 1 protein precursor [Gallus gallus]
NP_001258875.2	NXG07444.1	60.014	1438	98	0.0	1689	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	NXG07444.1	66.071	1008	98	0.0	1348	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	NXG07444.1	32.040	696	98	1.64e-104	365	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	NXG07444.1	31.155	459	98	1.27e-66	249	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	NXG07444.1	26.692	266	98	8.41e-22	103	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	NXG07444.1	39.773	88	98	1.86e-08	60.1	SLIT2 protein [Sakesphorus luctuosus]
NP_001258875.2	AAK94292.1	79.224	799	89	0.0	1346	Slit3 protein, partial [Gallus gallus]
NP_001258875.2	AAK94292.1	28.571	203	89	4.48e-24	110	Slit3 protein, partial [Gallus gallus]
NP_001258875.2	AAK94292.1	28.788	198	89	1.26e-19	95.9	Slit3 protein, partial [Gallus gallus]
NP_001258875.2	AAK94292.1	33.121	157	89	2.02e-17	89.0	Slit3 protein, partial [Gallus gallus]
NP_001258875.2	AAK94291.1	61.820	956	98	0.0	1274	Slit2 protein, partial [Gallus gallus]
NP_001258875.2	AAK94291.1	31.461	356	98	1.92e-56	214	Slit2 protein, partial [Gallus gallus]
NP_001258875.2	AAK94291.1	32.410	361	98	1.16e-54	208	Slit2 protein, partial [Gallus gallus]
NP_001258875.2	AAK94291.1	26.692	266	98	3.26e-22	104	Slit2 protein, partial [Gallus gallus]
NP_001258875.2	AAK94291.1	27.848	79	98	0.067	38.5	Slit2 protein, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	65.779	789	96	0.0	1123	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	32.242	397	96	2.30e-63	232	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	32.821	390	96	1.05e-62	230	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	26.692	266	96	2.80e-22	104	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	32.653	98	96	3.38e-08	58.9	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	27.879	165	96	3.15e-06	52.4	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	32.540	126	96	7.81e-06	51.2	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	26.220	164	96	4.63e-04	45.4	slit-2, partial [Gallus gallus]
NP_001258875.2	AAL14447.1	27.848	79	96	0.18	37.0	slit-2, partial [Gallus gallus]
